market,name,description,displayAddress,street,city,state,zipCode,timezone,latitude,longitude,averageRating,ratingCount,priceRange,imageUrl
"houston, tx",the hot bagel shop,"  sweets, sandwiches","2015 s shepherd dr, houston, tx 77019, usa",2015 south shepherd drive,houston,tx,77019,US/Central,29.7476579,-95.4103002,4.841504097,2101,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/38352522-2f17-42e7-b14c-95deb16e4363.png"
"houston, tx",first watch,"  pickup, american (new)","3029 kirby dr, houston, tx 77098, usa",3029 kirby drive,houston,tx,77098,US/Central,29.737828,-95.4181985,4.531342983,335,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/176499c5-3a35-42fd-b33f-d00cccef4104.jpg"
"houston, tx",this is it soul food,"  soul food, dessert","2712 blodgett st, houston, tx 77004, usa",2712 blodgett street,houston,tx,77004,US/Central,29.7230362,-95.3697059,4.075269222,558,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d3a8b983-fac2-45a5-8f65-2075fc1d99ca.png"
"houston, tx",bullritos,"  quesadillas, mexican","919 milam street, houston, tx 77002, usa",919 milam street,houston,tx,77002,US/Central,29.7581976,-95.3660829,4.222221851,162,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ce5c3b78-cb3b-4d3d-abc4-874fc7414f66.png"
"houston, tx",frank's grill,"  breakfast, burgers","frank's grill, 5901 clinton dr, houston, tx 77020, usa",5901 clinton drive,houston,tx,77020,US/Central,29.761327,-95.306263,4.550076962,1947,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d4634258-4592-42b3-9d2a-6e4a0c0b4ae3.png"
"houston, tx",christy's donuts & kolaches,"  donuts, breakfast & brunch","christy's donuts kolaches, 1103 w gray st, houston, tx 77019, usa",1103 west gray street,houston,tx,77019,US/Central,29.7529896,-95.392387,4.680641174,811,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/45c1a92e-637a-4fbf-8ed4-7e74b4104429.png"
"houston, tx",chilosos taco house,"  mexican, breakfast","701 e 20th st, 701 east 20th street, houston, tx 77008, usa",701 east 20th street,houston,tx,77008,US/Central,29.8043752,-95.390853,4.655474186,8220,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/a34d2853-c9aa-4950-a09c-25fa270270a0.jpg"
"houston, tx",einstein bros bagels,"  deli, bagels","5300 kirby dr, houston, tx 77005, usa",5300 kirby drive,houston,tx,77005,US/Central,29.7251641,-95.4188897,4.668073177,4028,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9cd597a8-d320-413c-8f4f-363b88c2fbc9.png"
"houston, tx",boudin hutt,"  waffles, dessert","3610 beulah st #2, houston, tx 77004, usa",3610 beulah street,houston,tx,77004,US/Central,29.728057,-95.3487158,4.090076923,2076,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/50827383-8321-4e1d-b0e5-0a107677c9cb.png"
"houston, tx",toasters breakfast & lunch cafe,"  breakfast, sandwiches","1004 n san jacinto st, houston, tx 77002, usa",1004 north san jacinto street,houston,tx,77002,US/Central,29.7669126,-95.3562042,4.419623852,958,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/321abd87-2766-43f4-839a-e19e6e2e836b.png"
"houston, tx",stanton's city bites,"  burgers, dinner","1420 edwards st, houston, tx 77007, usa",1420 edwards street,houston,tx,77007,US/Central,29.7709432,-95.3720701,4.818327904,1866,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/fb2c747d-b193-40b4-b2f5-2b1a0b2831ac.png"
"houston, tx",the alley,"  cold brew tea, green tea","401 franklin st, houston, tx 77201, usa",401 franklin street,houston,tx,77201,US/Central,29.7662149,-95.3648839,1,1,Mid,unknown
"houston, tx",the fry guys,"  new york fries, chicken","310 north st, houston, tx 77009, usa",310 north street,houston,tx,77009,US/Central,29.78549767,-95.36828013,4.410958767,73,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/bf488286-e877-4d17-912e-74971afe816e.png"
"houston, tx",tex chick,"  caribbean, takeout","712 fairview st, houston, tx 77006, usa",712 fairview street,houston,tx,77006,US/Central,29.7483156,-95.389374,4.469696999,66,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/6fa28a4f-1d26-4a39-8f3c-deccf6f3ccfc.png"
"houston, tx",j & j lounge,"  american, burgers","3303 lee st, houston, tx 77026, usa",3303 lee street,houston,tx,77026,US/Central,29.7819762,-95.3363297,4.495237827,315,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3c2f3b8b-4741-4f16-aa78-62974ad81e1c.png"
"houston, tx",parlay bar & grill,"  bar and grill, salads","1901 taft st, houston, tx 77006, usa",1901 taft street,houston,tx,77006,US/Central,29.751793,-95.385495,4.045454979,22,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9e10d0b2-82ac-4265-9aa2-1464a5d7d6d2.cover_Parlay Bar & Grill"
"houston, tx",b&t cafe,"  vietnamese, milk tea","b&t cafe, 2007 w alabama st ste b, houston, tx 77098, usa",2007 west alabama street,houston,tx,77098,US/Central,29.7382287,-95.408481,4.728518009,803,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/f052d2d9-660c-4aa8-8877-a81d61ffc606.png"
"houston, tx",the gypsy poet artisan pizza,"  pizza, salads","2404 austin st, houston, tx 77004, usa",2404 austin street,houston,tx,77004,US/Central,29.7441444,-95.3703396,4.885000229,1200,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/726433dd-471c-470e-acc0-6af7dccffe90.png"
"houston, tx",murphy's deli,"  deli, breakfast","811 main st #150, houston, tx 77002, usa",811 main street,houston,tx,77002,US/Central,29.7579771,-95.363451,4.099999905,20,Mid,unknown
"houston, tx",izakaya,"  japanese, chinese","318 gray st, houston, tx 77002, usa",318 gray street,houston,tx,77002,US/Central,29.7518483,-95.3769374,4.658802032,1102,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/1f9c818a-28ff-4990-baae-9e996297619a.png"
"houston, tx",charlies bbq,  bbq,"charlie's bbq & salads, 1001 fannin st #120, houston, tx 77002, usa",1001 fannin street,houston,tx,77002,US/Central,29.7557923,-95.3639415,4.154471874,123,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3db0e6e9-1b37-4621-ab18-d7309ec5043a.png"
"houston, tx",bluestone lane,"  bowls, vegetarian","115 w 19th st, houston, tx 77008, usa",115 west 19th street,houston,tx,77008,US/Central,29.8032465,-95.3985567,4.497630119,211,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3a8a0c68-ffcb-4f43-8ad3-74ad3081d1a7.png"
"houston, tx",south west pastrami co llc,"  food trucks, dinners","1011 mcgowen st, houston, tx 77002, usa",1011 mcgowen street,houston,tx,77002,US/Central,29.74524823,-95.37346187,4.857142925,7,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ba1c6283-1b2c-4002-8023-5712b5a4f608.jpg"
"houston, tx",sonia's kreyol kitchen,  haitian,"2616 blodgett st, houston, tx 77004, usa",2616 blodgett street,houston,tx,77004,US/Central,29.7226889,-95.3704827,4.747475147,99,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/f1d23b47-0bda-4fd6-86ba-cdf3750edca6.jpg"
"houston, tx",holy burger,"  fries, cakes","415 milam st, houston, tx 77007, usa",415 milam street,houston,tx,77007,US/Central,29.7619112,-95.3634041,0,0,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/fb8c9682-7b35-4d35-9596-b47e229f49ed.png"
"houston, tx",cupcake kitchen,"  soul food, bakery","2533 southmore blvd, houston, tx 77004, usa",2533 southmore boulevard,houston,tx,77004,US/Central,29.7203675,-95.373222,3.992981911,1140,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9d47cdd7-0db9-41d0-aceb-0adbc745f73f.jpeg"
"houston, tx",best street tacos llc,"  tacos, mexican","2004 baldwin st, houston, tx 77002, usa",2004 baldwin street,houston,tx,77002,US/Central,29.7530691,-95.3771677,4.164178848,67,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/dfa25f4f-285d-4f57-b90c-f8376501ccb1.jpg"
"houston, tx",stack burger,"  burgers, breakfast","703 st joseph pkwy, houston, tx 77002, usa",703 saint joseph parkway,houston,tx,77002,US/Central,29.751828,-95.3726151,4.652369976,443,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/6f205ff5-0115-4810-864b-9fa1b4d6705e.png"
"houston, tx",le brownie bae,"  brownies, chocolate","1515 main st, houston, tx 77002, usa",1515 main street,houston,tx,77002,US/Central,29.7526923,-95.367668,5,1,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/7d8495e2-11ff-4510-a902-e571ac21ba5e.png"
"houston, tx",krispy krunchy chicken,"  wings, boneless wings","625 fannin st, houston, tx 77002, usa",625 fannin street,houston,tx,77002,US/Central,29.7587197,-95.3621585,4.392405033,79,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/c8a1ad43-36ad-49a7-9120-2ef5f9071b61.jpg"
"houston, tx",aladdin mediterranean,"  mediterranean, greek","912 westheimer rd, 912 westheimer road, houston, tx 77006, usa",912 westheimer road,houston,tx,77006,US/Central,29.7448231,-95.3910932,4.835226059,7750,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/aladdin_logo_square.png"
